Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Public Method,"ro.isdc.wro.cache.CacheEntry.getGroupName()",wro4j-core/src/main/java/ro/isdc/wro/cache/CacheEntry.java,,,,,,,,,,,,,,,,,,,,,,,,,3,6,0,3,1,1,3,1,1,1,2,1,1,1,1,1,1,,,,,,0,,1,00,1,1,1,1
Public Method,"ro.isdc.wro.cache.CacheEntry.getType()",wro4j-core/src/main/java/ro/isdc/wro/cache/CacheEntry.java,,,,,,,,,,,,,,,,,,,,,,,,,3,6,0,3,1,1,3,1,1,1,2,1,1,1,1,1,1,,,,,,0,,1,00,1,1,1,1
Public Method,"ro.isdc.wro.cache.CacheEntry.hashCode()",wro4j-core/src/main/java/ro/isdc/wro/cache/CacheEntry.java,,,,,,,,,,,,,,,,,,,,,,,,,0,11,0,8,3,5,3,8,1,5,6,2,4,1,1,1,1,,,,,,0,,0,38,1,1,1,1
Public Method,"ro.isdc.wro.cache.CacheEntry.isMinimize()",wro4j-core/src/main/java/ro/isdc/wro/cache/CacheEntry.java,,,,,,,,,,,,,,,,,,,,,,,,,3,6,0,3,1,1,3,1,1,1,2,1,1,1,1,1,1,,,,,,0,,1,00,1,1,1,1
Public Method,"ro.isdc.wro.cache.CacheEntry.setMinimize(boolean)",wro4j-core/src/main/java/ro/isdc/wro/cache/CacheEntry.java,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,3,1,1,3,1,1,1,2,1,1,1,1,1,1,,,,,,0,,1,00,1,1,1,1
Public Method,"ro.isdc.wro.cache.CacheEntry.toString()",wro4j-core/src/main/java/ro/isdc/wro/cache/CacheEntry.java,,,,,,,,,,,,,,,,,,,,,,,,,1,7,0,4,2,1,3,6,1,1,2,1,1,1,1,1,1,,,,,,0,,0,75,1,1,1,1
Public Generic Interface,"ro.isdc.wro.cache.CacheStrategy",wro4j-core/src/main/java/ro/isdc/wro/cache/CacheStrategy.java,0,0,0,0,0,0,0,0,0,0,1,,0,0,,,4,0,4,4,4,0,0,0,,31,4,6,5,0,21,,,4,5,5,0,,,,,0,0,0,0,0,0,0,3,50,0,0,0,0
TypeVariable,"ro.isdc.wro.cache.CacheStrategy.K",wro4j-core/src/main/java/ro/isdc/wro/cache/CacheStrategy.java,0,0,0,0,0,0,0,0,1,0,0,,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,1,0,0,0,00,0,0,0,0
TypeVariable,"ro.isdc.wro.cache.CacheStrategy.V",wro4j-core/src/main/java/ro/isdc/wro/cache/CacheStrategy.java,0,0,0,0,0,0,0,0,1,0,0,,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,1,0,0,0,00,0,0,0,0
Abstract Method,"ro.isdc.wro.cache.CacheStrategy.clear()",wro4j-core/src/main/java/ro/isdc/wro/cache/CacheStrategy.java,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,1,1,0,3,0,0,1,1,1,0,0,0,0,0,,,,,,0,,3,00,0,0,0,0
Abstract Method,"ro.isdc.wro.cache.CacheStrategy.destroy()",wro4j-core/src/main/java/ro/isdc/wro/cache/CacheStrategy.java,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,1,1,0,3,0,0,1,1,1,0,0,0,0,0,,,,,,0,,3,00,0,0,0,0
Abstract Method,"ro.isdc.wro.cache.CacheStrategy.get(K)",wro4j-core/src/main/java/ro/isdc/wro/cache/CacheStrategy.java,,,,,,,,,,,,,,,,,,,,,,,,,2,8,0,1,1,0,7,1,0,1,1,1,0,0,0,0,0,,,,,,0,,7,00,0,0,0,0
Abstract Method,"ro.isdc.wro.cache.CacheStrategy.put(K,V)",wro4j-core/src/main/java/ro/isdc/wro/cache/CacheStrategy.java,,,,,,,,,,,,,,,,,,,,,,,,,3,9,0,1,1,0,8,0,0,1,1,1,0,0,0,0,0,,,,,,0,,8,00,0,0,0,0
Package,"ro.isdc.wro.cache.impl",wro4j-core/src/main/java/ro/isdc/wro/cache/impl/MapCacheStrategy.java,1,1,1,1,6,0,3,3,,,,1,0,0,1,,5,1,5,,0,0,0,5,,60,8,22,11,5,30,,,10,16,11,5,,,,,1,1,1,1,,0,,1,36,5,5,5,5
Public Final Generic Class,"ro.isdc.wro.cache.impl.MapCacheStrategy",wro4j-core/src/main/java/ro/isdc/wro/cache/impl/MapCacheStrategy.java,1,1,1,1,6,0,3,3,2,2,0,,0,0,,,5,1,5,17,0,0,0,5,,50,5,18,7,5,27,,,6,12,7,5,,,,,1,1,1,1,1,0,19,1,50,5,5,5,5
TypeVariable,"ro.isdc.wro.cache.impl.MapCacheStrategy.K",wro4j-core/src/main/java/ro/isdc/wro/cache/impl/MapCacheStrategy.java,0,0,0,0,0,0,0,0,1,0,0,,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,1,0,0,0,00,0,0,0,0
Public Constructor,"ro.isdc.wro.cache.impl.MapCacheStrategy.MapCacheStrategy()",wro4j-core/src/main/java/ro/isdc/wro/cache/impl/MapCacheStrategy.java,,,,,,,,,,,,,,,,,,,,,,,,,2,6,0,3,1,1,3,3,1,1,2,1,1,1,1,1,1,,,,,,0,,1,00,1,1,1,1
TypeVariable,"ro.isdc.wro.cache.impl.MapCacheStrategy.V",wro4j-core/src/main/java/ro/isdc/wro/cache/impl/MapCacheStrategy.java,0,0,0,0,0,0,0,0,1,0,0,,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,1,0,0,0,00,0,0,0,0
Public Method,"ro.isdc.wro.cache.impl.MapCacheStrategy.clear()",wro4j-core/src/main/java/ro/isdc/wro/cache/impl/MapCacheStrategy.java,,,,,,,,,,,,,,,,,,,,,,,,,2,6,0,3,1,1,3,1,1,1,2,1,1,1,1,1,1,,,,,,0,,1,00,1,1,1,1
Public Method,"ro.isdc.wro.cache.impl.MapCacheStrategy.destroy()",wro4j-core/src/main/java/ro/isdc/wro/cache/impl/MapCacheStrategy.java,,,,,,,,,,,,,,,,,,,,,,,,,0,6,0,3,1,1,3,1,1,1,2,1,1,1,1,1,1,,,,,,0,,1,00,1,1,1,1
Public Method,"ro.isdc.wro.cache.impl.MapCacheStrategy.get(K)",wro4j-core/src/main/java/ro/isdc/wro/cache/impl/MapCacheStrategy.java,,,,,,,,,,,,,,,,,,,,,,,,,2,6,0,3,1,1,3,2,1,1,2,1,1,1,1,1,1,,,,,,0,,1,00,1,1,1,1
Public Method,"ro.isdc.wro.cache.impl.MapCacheStrategy.put(K,V)",wro4j-core/src/main/java/ro/isdc/wro/cache/impl/MapCacheStrategy.java,,,,,,,,,,,,,,,,,,,,,,,,,3,9,0,3,1,1,6,1,1,1,2,1,1,1,1,1,1,,,,,,0,,2,00,1,1,1,1
Package,"ro.isdc.wro.config",wro4j-core/src/main/java/ro/isdc/wro/config/ConfigurationContext.java,1,1,1,1,7,0,3,3,,,,3,8,2,3,,12,5,20,,2,4,0,14,,254,40,99,45,30,115,,,46,71,43,29,,,,,2,2,2,1,,1,,1,16,22,22,22,18
Public Class,"ro.isdc.wro.config.ConfigurationContext",wro4j-core/src/main/java/ro/isdc/wro/config/ConfigurationContext.java,1,1,1,1,7,0,3,3,1,1,0,,1,1,,,3,1,4,16,0,1,0,3,,49,5,19,7,6,25,,,7,13,7,6,,,,,2,2,2,1,1,1,50,1,32,5,5,5,4
Private Constructor,"ro.isdc.wro.config.ConfigurationContext.ConfigurationContext()",wro4j-core/src/main/java/ro/isdc/wro/config/ConfigurationContext.java,,,,,,,,,,,,,,,,,,,,,,,,,1,7,0,3,1,1,4,2,1,1,2,1,1,1,1,1,1,,,,,,0,,1,33,1,1,1,1
Public Static Method,"ro.isdc.wro.config.ConfigurationContext.get()",wro4j-core/src/main/java/ro/isdc/wro/config/ConfigurationContext.java,,,,,,,,,,,,,,,,,,,,,,,,,12,9,0,6,1,3,3,3,2,2,4,1,3,2,2,2,1,,,,,,1,,0,50,2,2,2,1
Public Method,"ro.isdc.wro.config.ConfigurationContext.getConfig()",wro4j-core/src/main/java/ro/isdc/wro/config/ConfigurationContext.java,,,,,,,,,,,,,,,,,,,,,,,,,8,6,0,3,1,1,3,1,1,1,2,1,1,1,1,1,1,,,,,,0,,1,00,1,1,1,1
Public Method,"ro.isdc.wro.config.ConfigurationContext.setConfig(WroConfiguration)",wro4j-core/src/main/java/ro/isdc/wro/config/ConfigurationContext.java,,,,,,,,,,,,,,,,,,,,,,,,,5,6,0,3,1,1,3,1,1,1,2,1,1,1,1,1,1,,,,,,0,,1,00,1,1,1,1
Public Class,"ro.isdc.wro.config.Context",wro4j-core/src/main/java/ro/isdc/wro/config/Context.java,1,1,1,1,7,0,4,3,1,13,0,,7,1,,,7,4,14,26,0,3,0,11,,157,26,63,22,24,68,,,24,42,20,23,,,,,2,2,2,1,1,1,85,1,08,17,17,17,14
Private Constructor,"ro.isdc.wro.config.Context.Context()",wro4j-core/src/main/java/ro/isdc/wro/config/Context.java,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,2,1,0,3,1,1,0,1,1,0,1,1,1,1,,,,,,0,,1,50,1,1,1,1
Private Constructor,"ro.isdc.wro.config.Context.Context(HttpServletRequest,HttpServletResponse,FilterConfig)",wro4j-core/src/main/java/ro/isdc/wro/config/Context.java,,,,,,,,,,,,,,,,,,,,,,,,,5,14,1,10,1,7,3,7,2,5,7,1,6,2,2,2,1,,,,,,1,,0,30,2,2,2,1
Public Static Method,"ro.isdc.wro.config.Context.get()",wro4j-core/src/main/java/ro/isdc/wro/config/Context.java,,,,,,,,,,,,,,,,,,,,,,,,,14,9,0,6,1,3,3,4,2,2,4,1,3,2,2,2,1,,,,,,1,,0,50,2,2,2,1
Public Method,"ro.isdc.wro.config.Context.getFilterConfig()",wro4j-core/src/main/java/ro/isdc/wro/config/Context.java,,,,,,,,,,,,,,,,,,,,,,,,,2,6,0,3,1,1,3,1,1,1,2,1,1,1,1,1,1,,,,,,0,,1,00,1,1,1,1
Public Method,"ro.isdc.wro.config.Context.getRequest()",wro4j-core/src/main/java/ro/isdc/wro/config/Context.java,,,,,,,,,,,,,,,,,,,,,,,,,5,6,0,3,1,1,3,1,1,1,2,1,1,1,1,1,1,,,,,,0,,1,00,1,1,1,1
Public Method,"ro.isdc.wro.config.Context.getResponse()",wro4j-core/src/main/java/ro/isdc/wro/config/Context.java,,,,,,,,,,,,,,,,,,,,,,,,,5,6,0,3,1,1,3,1,1,1,2,1,1,1,1,1,1,,,,,,0,,1,00,1,1,1,1
Public Method,"ro.isdc.wro.config.Context.getServletContext()",wro4j-core/src/main/java/ro/isdc/wro/config/Context.java,,,,,,,,,,,,,,,,,,,,,,,,,6,6,0,3,1,1,3,1,1,1,2,1,1,1,1,1,1,,,,,,0,,1,00,1,1,1,1
Private Static Method,"ro.isdc.wro.config.Context.isValid()",wro4j-core/src/main/java/ro/isdc/wro/config/Context.java,,,,,,,,,,,,,,,,,,,,,,,,,2,6,0,3,1,1,3,2,1,1,2,1,1,1,1,1,1,,,,,,0,,1,00,1,1,1,1
Public Static Method,"ro.isdc.wro.config.Context.set(Context)",wro4j-core/src/main/java/ro/isdc/wro/config/Context.java,,,,,,,,,,,,,,,,,,,,,,,,,12,11,0,6,1,3,5,2,2,2,4,1,3,2,2,2,1,,,,,,1,,0,83,2,2,2,1
Public Static Method,"ro.isdc.wro.config.Context.standaloneContext()",wro4j-core/src/main/java/ro/isdc/wro/config/Context.java,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,3,1,1,3,2,1,1,2,1,1,1,1,1,1,,,,,,0,,1,00,1,1,1,1
Public Static Method,"ro.isdc.wro.config.Context.standaloneContext(HttpServletRequest)",wro4j-core/src/main/java/ro/isdc/wro/config/Context.java,,,,,,,,,,,,,,,,,,,,,,,,,2,9,0,3,1,1,6,2,1,1,2,1,1,1,1,1,1,,,,,,0,,2,00,1,1,1,1
Public Method,"ro.isdc.wro.config.Context.toString()",wro4j-core/src/main/java/ro/isdc/wro/config/Context.java,,,,,,,,,,,,,,,,,,,,,,,,,1,7,0,4,2,1,3,2,1,1,2,1,1,1,1,1,1,,,,,,0,,0,75,1,1,1,1
Public Static Method,"ro.isdc.wro.config.Context.unset()",wro4j-core/src/main/java/ro/isdc/wro/config/Context.java,,,,,,,,,,,,,,,,,,,,,,,,,7,6,0,3,1,1,3,1,1,1,2,1,1,1,1,1,1,,,,,,0,,1,00,1,1,1,1
Public Static Method,"ro.isdc.wro.config.Context.webContext(HttpServletRequest,HttpServletResponse,FilterConfig)",wro4j-core/src/main/java/ro/isdc/wro/config/Context.java,,,,,,,,,,,,,,,,,,,,,,,,,6,7,0,4,2,1,3,2,1,1,2,1,1,1,1,1,1,,,,,,0,,0,75,1,1,1,1
Public Interface,"ro.isdc.wro.config.WroConfigurationChangeListener",wro4j-core/src/main/java/ro/isdc/wro/config/WroConfigurationChangeListener.java,0,0,0,0,0,0,0,0,0,0,3,,0,0,,,2,0,2,2,2,0,0,0,,10,0,4,3,0,6,,,2,3,3,0,,,,,0,0,0,0,0,0,0,1,50,0,0,0,0
Abstract Method,"ro.isdc.wro.config.WroConfigurationChangeListener.onCachePeriodChanged()",wro4j-core/src/main/java/ro/isdc/wro/config/WroConfigurationChangeListener.java,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,1,1,0,3,0,0,1,1,1,0,0,0,0,0,,,,,,0,,3,00,0,0,0,0
Abstract Method,"ro.isdc.wro.config.WroConfigurationChangeListener.onModelPeriodChanged()",wro4j-core/src/main/java/ro/isdc/wro/config/WroConfigurationChangeListener.java,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,1,1,0,3,0,0,1,1,1,0,0,0,0,0,,,,,,0,,3,00,0,0,0,0
Package,"ro.isdc.wro.config.jmx",wro4j-core/src/main/java/ro/isdc/wro/config/jmx/WroConfiguration.java,1,1,1,1,7,0,4,3,,,,2,1,0,2,,25,6,26,,10,2,0,14,,262,44,94,48,31,124,,,48,72,48,30,,,,,3,3,3,1,,1,,1,32,22,22,22,16
