Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Public Method,"ro.isdc.wro.cache.CacheKey.getType()",wro4j-core/src/main/java/ro/isdc/wro/cache/CacheKey.java,,,,,,,,,,,,,,,,,,,,,,,,,5,6,0,3,1,1,3,1,1,1,2,1,1,1,1,1,1,,,,,,0,,1,00,1,1,1,1
Public Method,"ro.isdc.wro.cache.CacheKey.hashCode()",wro4j-core/src/main/java/ro/isdc/wro/cache/CacheKey.java,,,,,,,,,,,,,,,,,,,,,,,,,2,7,0,4,2,1,3,2,1,1,2,1,1,1,1,1,1,,,,,,0,,0,75,1,1,1,1
Public Method,"ro.isdc.wro.cache.CacheKey.isMinimize()",wro4j-core/src/main/java/ro/isdc/wro/cache/CacheKey.java,,,,,,,,,,,,,,,,,,,,,,,,,3,6,0,3,1,1,3,1,1,1,2,1,1,1,1,1,1,,,,,,0,,1,00,1,1,1,1
Public Method,"ro.isdc.wro.cache.CacheKey.toString()",wro4j-core/src/main/java/ro/isdc/wro/cache/CacheKey.java,,,,,,,,,,,,,,,,,,,,,,,,,1,7,0,4,2,1,3,2,1,1,2,1,1,1,1,1,1,,,,,,0,,0,75,1,1,1,1
Public Generic Interface,"ro.isdc.wro.cache.CacheStrategy",wro4j-core/src/main/java/ro/isdc/wro/cache/CacheStrategy.java,0,0,0,0,0,0,0,0,0,0,3,,0,0,,,4,0,4,4,4,0,0,0,,31,4,6,5,0,21,,,4,5,5,0,,,,,0,0,0,0,0,0,0,3,50,0,0,0,0
TypeVariable,"ro.isdc.wro.cache.CacheStrategy.K",wro4j-core/src/main/java/ro/isdc/wro/cache/CacheStrategy.java,0,0,0,0,0,0,0,0,1,0,0,,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,1,0,0,0,00,0,0,0,0
TypeVariable,"ro.isdc.wro.cache.CacheStrategy.V",wro4j-core/src/main/java/ro/isdc/wro/cache/CacheStrategy.java,0,0,0,0,0,0,0,0,1,0,0,,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,1,0,0,0,00,0,0,0,0
Abstract Method,"ro.isdc.wro.cache.CacheStrategy.clear()",wro4j-core/src/main/java/ro/isdc/wro/cache/CacheStrategy.java,,,,,,,,,,,,,,,,,,,,,,,,,7,4,0,1,1,0,3,0,0,1,1,1,0,0,0,0,0,,,,,,0,,3,00,0,0,0,0
Abstract Method,"ro.isdc.wro.cache.CacheStrategy.destroy()",wro4j-core/src/main/java/ro/isdc/wro/cache/CacheStrategy.java,,,,,,,,,,,,,,,,,,,,,,,,,3,4,0,1,1,0,3,0,0,1,1,1,0,0,0,0,0,,,,,,0,,3,00,0,0,0,0
Abstract Method,"ro.isdc.wro.cache.CacheStrategy.get(K)",wro4j-core/src/main/java/ro/isdc/wro/cache/CacheStrategy.java,,,,,,,,,,,,,,,,,,,,,,,,,11,8,0,1,1,0,7,1,0,1,1,1,0,0,0,0,0,,,,,,0,,7,00,0,0,0,0
