Dataset,Algoritm,window,model,resample,F1-Score(micro),F1-Score(macro),F1-Score(weighted),F1-Score(None),Accuracy,Sensitivity,Specificity,ROC AUC score,Confusion matrix
Openfire,RandomForest,0,model1,NONE,0.9102111054836779,0.5317595829938994,0.9431727074827778,[0.95271837 0.1108008 ],0.9102111054836779,0.4934010152284264,0.9149910933625176,0.704196054295472,"[157179, 14603, 998, 972]"
Openfire,DT,0,model1,NONE,0.870251853216078,0.5096046356196084,0.920615248183645,[0.93015157 0.0890577 ],0.8702518532160781,0.5593908629441624,0.8738168143344471,0.7166038386393048,"[150106, 21676, 868, 1102]"
Openfire,LogisticRegression,0,model1,NONE,0.7621149684607947,0.46098776391729057,0.854730788487754,[0.86386647 0.05810906],0.7621149684607947,0.6472081218274112,0.7634327228696837,0.7053204223485474,"[131144, 40638, 695, 1275]"
Openfire,MLP,0,model1,NONE,0.9886965329895483,0.5036905208853065,0.9831902992265316,[0.99431572 0.01306533],0.9886965329895483,0.006598984771573604,0.9999592506781851,0.5032791177248793,"[171775, 7, 1957, 13]"
Openfire,RandomForest,0,model1,NONE,0.9102111054836779,0.5317595829938994,0.9431727074827778,[0.95271837 0.1108008 ],0.9102111054836779,0.4934010152284264,0.9149910933625176,0.704196054295472,"[157179, 14603, 998, 972]"
Openfire,DT,0,model1,NONE,0.870251853216078,0.5096046356196084,0.920615248183645,[0.93015157 0.0890577 ],0.8702518532160781,0.5593908629441624,0.8738168143344471,0.7166038386393048,"[150106, 21676, 868, 1102]"
Openfire,LogisticRegression,0,model1,NONE,0.7621149684607947,0.46098776391729057,0.854730788487754,[0.86386647 0.05810906],0.7621149684607947,0.6472081218274112,0.7634327228696837,0.7053204223485474,"[131144, 40638, 695, 1275]"
Openfire,MLP,0,model1,NONE,0.9886965329895483,0.5036905208853065,0.9831902992265316,[0.99431572 0.01306533],0.9886965329895483,0.006598984771573604,0.9999592506781851,0.5032791177248793,"[171775, 7, 1957, 13]"
Openfire,RandomForest,0,model2,NONE,0.9211289654219807,0.5411337433525083,0.9492375952717402,[0.95870647 0.12356101],0.9211289654219807,0.4903553299492386,0.9260690875644713,0.708212208756855,"[159082, 12700, 1004, 966]"
Openfire,DT,0,model2,NONE,0.9052787881578341,0.5314678172107877,0.9404781691383889,[0.94996808 0.11296755],0.9052787881578341,0.531979695431472,0.9095597908977657,0.720769743164619,"[156246, 15536, 922, 1048]"
Openfire,LogisticRegression,0,model2,NONE,0.7653149316266864,0.4624415284062572,0.8567916587354796,[0.86594142 0.05894164],0.7653149316266863,0.6482233502538071,0.7666577406247453,0.7074405454392763,"[131698, 40084, 693, 1277]"
Openfire,MLP,0,model2,NONE,0.9887080436484185,0.5086147871523609,0.983307329960893,[0.99432121 0.02290837],0.9887080436484185,0.011675126903553299,0.9999126800246825,0.5057939034641179,"[171767, 15, 1947, 23]"
Openfire,RandomForest,0,model3,NONE,0.34121621621621623,0.26442793482730853,0.49670089371886694,[0.50209012 0.02676575],0.34121621621621623,0.798984771573604,0.3359665157001316,0.5674756436368678,"[57713, 114069, 396, 1574]"
Openfire,DT,0,model3,NONE,0.34042773608361343,0.2639657697949143,0.4958174790091673,[0.50119693 0.02673461],0.34042773608361343,0.798984771573604,0.33516899325889793,0.567076882416251,"[57576, 114206, 396, 1574]"
Openfire,LogisticRegression,0,model3,NONE,0.5388081863805885,0.3603635850447824,0.6905482215068779,[0.69820921 0.02251796],0.5388081863805885,0.4685279187817259,0.5396141621357302,0.5040710404587281,"[92696, 79086, 1047, 923]"
Openfire,MLP,0,model3,NONE,0.988662001012938,0.497149339862358,0.98302532230116,[0.99429868 0.        ],0.988662001012938,0.0,1.0,0.5,"[171782, 0, 1970, 0]"
Openfire,DT,0,model1,ROS,0.863270638611354,0.507215556511139,0.9165946442241772,[0.92609311 0.088338  ],0.8632706386113541,0.584263959390863,0.866470293744397,0.7253671265676299,"[148844, 22938, 819, 1151]"
Openfire,RandomForest,0,model1,ROS,0.8624418711727059,0.5070776998949293,0.9161166051476036,[0.92560718 0.08854822],0.8624418711727059,0.5893401015228427,0.8655738086644701,0.7274569550936563,"[148690, 23092, 809, 1161]"
Openfire,LogisticRegression,0,model1,ROS,0.7628228739813067,0.46129946650927445,0.855187497077623,[0.86432654 0.05827239],0.7628228739813067,0.6472081218274112,0.7641487466672876,0.7056784342473494,"[131267, 40515, 695, 1275]"
Openfire,MLP,0,model1,ROS,0.8356910999585615,0.4980074284589869,0.900392852506127,[0.90972905 0.08628581],0.8356910999585616,0.6842639593908629,0.8374276699537786,0.7608458146723207,"[143855, 27927, 622, 1348]"
Openfire,DT,0,model2,ROS,0.9001507896311985,0.529909040104506,0.9376386101446924,[0.9470988  0.11271928],0.9001507896311985,0.5593908629441624,0.9040586324527599,0.7317247476984611,"[155301, 16481, 868, 1102]"
Openfire,RandomForest,0,model2,ROS,0.899690363276394,0.5303155333004475,0.9373913591619878,[0.94683639 0.11379468],0.899690363276394,0.5680203045685279,0.9034939632790397,0.7357571339237838,"[155204, 16578, 851, 1119]"
Openfire,LogisticRegression,0,model2,ROS,0.7656832727105298,0.4626896193590101,0.8570269988429674,[0.86617647 0.05920277],0.7656832727105299,0.650253807106599,0.7670070205260155,0.7086304138163073,"[131758, 40024, 689, 1281]"
Openfire,MLP,0,model2,ROS,0.8733194438049634,0.5199268967234084,0.9224779294586962,[0.93181797 0.10803582],0.8733194438049634,0.6766497461928934,0.8755748565041739,0.7761123013485337,"[150408, 21374, 637, 1333]"
Openfire,DT,0,model3,ROS,0.33259473272250106,0.25943655024990675,0.48692070695892486,[0.49219882 0.02667428],0.33259473272250106,0.8065989847715737,0.3271588408564343,0.5668789128140039,"[56200, 115582, 381, 1589]"
Openfire,RandomForest,0,model3,ROS,0.3326062433813711,0.2594433767350842,0.4869337675017382,[0.49221203 0.02667472],0.3326062433813711,0.8065989847715737,0.32717048351981,0.5668847341456918,"[56202, 115580, 381, 1589]"
Openfire,LogisticRegression,0,model3,ROS,0.5522583912703163,0.3662945139462403,0.7017976580556704,[0.70958205 0.02300698],0.5522583912703163,0.4649746192893401,0.5532593636120199,0.50911699145068,"[95040, 76742, 1054, 916]"
Openfire,MLP,0,model3,ROS,0.32750702150191074,0.25631492104586934,0.48119397316070217,[0.48641165 0.0262182 ],0.32750702150191074,0.7984771573604061,0.3221059249513919,0.5602915411558991,"[55332, 116450, 397, 1573]"
Openfire,RandomForest,0,model1,SMOTE,0.9484207376030204,0.5480031242002544,0.9637824278920599,[0.97342939 0.12257686],0.9484207376030204,0.3177664974619289,0.9556530952020584,0.6367097963319938,"[164164, 7618, 1344, 626]"
Openfire,DT,0,model1,SMOTE,0.8927494359777154,0.509381317943216,0.9332375781386337,[0.94307195 0.07569069],0.8927494359777154,0.38730964467005075,0.8985458313443784,0.6429277380072146,"[154354, 17428, 1207, 763]"
Openfire,LogisticRegression,0,model1,SMOTE,0.7651422717436347,0.46219504236103903,0.8566836427882961,[0.86583662 0.05855347],0.7651422717436346,0.6441624365482234,0.7665296713276128,0.7053460539379182,"[131676, 40106, 701, 1269]"
Openfire,MLP,0,model1,SMOTE,0.8760589806160505,0.513771664181952,0.923961846793797,[0.93347913 0.0940642 ],0.8760589806160505,0.5675126903553299,0.8795973967004692,0.7235550435278997,"[151099, 20683, 852, 1118]"
Openfire,RandomForest,0,model2,SMOTE,0.9577155946406373,0.5606650684310674,0.9688522106022843,[0.97832302 0.14300712],0.9577155946406373,0.3111675126903553,0.9651302231898569,0.6381488679401061,"[165792, 5990, 1357, 613]"
Openfire,DT,0,model2,SMOTE,0.9470970118329574,0.549645130843261,0.9631287170822782,[0.97272242 0.12656784],0.9470970118329574,0.3380710659898477,0.9540813356463425,0.646076200818095,"[163894, 7888, 1304, 666]"
Openfire,LogisticRegression,0,model2,SMOTE,0.7673177862700861,0.463478196137639,0.8580757907196519,[0.8672313 0.0597251],0.7673177862700861,0.6517766497461929,0.7686428147302977,0.7102097322382452,"[132039, 39743, 686, 1284]"
