Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"debugger/src/main/java/org/apache/pdfbox/debugger/flagbitspane/EncryptFlag.java",debugger/src/main/java/org/apache/pdfbox/debugger/flagbitspane/EncryptFlag.java,1,1,1,1,8,0,7,1,,,,1,0,0,,4,4,1,4,,4,0,0,0,,69,7,37,14,14,25,,,10,15,11,5,,,,,1,1,1,1,,0,,0,68,4,4,4,4
File,"debugger/src/main/java/org/apache/pdfbox/debugger/flagbitspane/FieldFlag.java",debugger/src/main/java/org/apache/pdfbox/debugger/flagbitspane/FieldFlag.java,1,1,1,1,12,0,11,1,,,,1,0,0,,9,9,1,9,,4,5,0,0,,150,13,107,21,58,30,,,23,39,18,24,,,,,4,4,4,4,,1,,0,28,15,15,15,15
File,"debugger/src/main/java/org/apache/pdfbox/debugger/flagbitspane/Flag.java",debugger/src/main/java/org/apache/pdfbox/debugger/flagbitspane/Flag.java,1,1,1,1,4,0,4,0,,,,1,0,0,,4,4,0,4,,4,0,0,0,,34,2,11,6,1,21,,,5,7,6,1,,,,,1,1,1,1,,0,,1,91,1,1,1,1
File,"debugger/src/main/java/org/apache/pdfbox/debugger/flagbitspane/FlagBitsPane.java",debugger/src/main/java/org/apache/pdfbox/debugger/flagbitspane/FlagBitsPane.java,3,3,3,1,20,1,16,3,,,,1,0,0,,3,3,2,3,,0,1,0,2,,99,10,59,12,27,30,,,23,33,12,21,,,,,7,7,7,1,,1,,0,51,9,9,9,3
File,"debugger/src/main/java/org/apache/pdfbox/debugger/flagbitspane/FlagBitsPaneView.java",debugger/src/main/java/org/apache/pdfbox/debugger/flagbitspane/FlagBitsPaneView.java,1,1,1,1,23,3,17,3,,,,1,0,0,,3,3,5,3,,2,1,0,0,,117,15,70,27,40,32,,,55,60,27,40,,,,,2,2,3,1,,1,,0,46,4,4,5,3
File,"debugger/src/main/java/org/apache/pdfbox/debugger/flagbitspane/FontFlag.java",debugger/src/main/java/org/apache/pdfbox/debugger/flagbitspane/FontFlag.java,1,1,1,1,8,0,7,1,,,,1,0,0,,4,4,1,4,,4,0,0,0,,70,7,38,14,15,25,,,10,15,11,5,,,,,1,1,1,1,,0,,0,66,4,4,4,4
File,"debugger/src/main/java/org/apache/pdfbox/debugger/flagbitspane/PanoseFlag.java",debugger/src/main/java/org/apache/pdfbox/debugger/flagbitspane/PanoseFlag.java,1,1,1,1,13,0,12,0,,,,1,0,0,,16,16,2,16,,4,10,0,2,,263,21,218,31,155,24,,,27,44,27,19,,,,,1,1,1,1,,0,,0,11,16,16,16,16
File,"debugger/src/main/java/org/apache/pdfbox/debugger/flagbitspane/SigFlag.java",debugger/src/main/java/org/apache/pdfbox/debugger/flagbitspane/SigFlag.java,1,1,1,1,7,0,6,1,,,,1,0,0,,4,4,2,4,,4,0,0,0,,67,7,34,16,9,26,,,13,18,13,6,,,,,1,1,1,1,,0,,0,76,4,4,4,4
File,"debugger/src/main/java/org/apache/pdfbox/debugger/fontencodingpane/FontEncodingPaneController.java",debugger/src/main/java/org/apache/pdfbox/debugger/fontencodingpane/FontEncodingPaneController.java,3,3,3,1,22,0,16,6,,,,2,0,1,,4,4,1,4,,2,0,0,2,,119,8,72,28,25,39,,,33,46,29,21,,,,,5,5,5,3,,2,,0,54,10,10,10,5
File,"debugger/src/main/java/org/apache/pdfbox/debugger/fontencodingpane/FontEncodingView.java",debugger/src/main/java/org/apache/pdfbox/debugger/fontencodingpane/FontEncodingView.java,1,1,2,1,23,2,19,1,,,,2,0,1,,8,8,2,8,,2,5,0,1,,253,31,188,72,115,34,,,119,136,65,95,,,,,6,6,7,5,,2,,0,18,15,15,16,12
File,"debugger/src/main/java/org/apache/pdfbox/debugger/fontencodingpane/SimpleFont.java",debugger/src/main/java/org/apache/pdfbox/debugger/fontencodingpane/SimpleFont.java,1,1,2,1,15,1,13,1,,,,1,0,2,,4,4,2,4,,1,2,0,1,,108,13,70,25,33,25,,,39,47,25,27,,,,,4,4,5,1,,3,,0,36,7,7,8,4
File,"debugger/src/main/java/org/apache/pdfbox/debugger/fontencodingpane/Type0Font.java",debugger/src/main/java/org/apache/pdfbox/debugger/fontencodingpane/Type0Font.java,3,3,4,1,26,0,24,1,,,,1,0,1,,4,4,2,4,,1,2,0,1,,155,10,119,42,63,26,,,71,87,44,54,,,,,6,6,6,1,,3,,0,22,15,15,16,4
File,"debugger/src/main/java/org/apache/pdfbox/debugger/fontencodingpane/Type3Font.java",debugger/src/main/java/org/apache/pdfbox/debugger/fontencodingpane/Type3Font.java,2,2,3,1,23,1,19,2,,,,1,0,1,,6,6,4,6,,1,4,0,1,,203,17,146,52,76,40,,,85,103,53,64,,,,,5,5,6,4,,3,,0,27,17,17,20,9
File,"debugger/src/main/java/org/apache/pdfbox/debugger/hexviewer/ASCIIPane.java",debugger/src/main/java/org/apache/pdfbox/debugger/hexviewer/ASCIIPane.java,1,1,2,1,17,1,12,3,,,,1,0,0,,5,5,3,5,,2,1,1,1,,131,16,78,26,38,37,,,44,54,24,33,,,,,5,5,6,3,,2,,0,47,9,9,10,7
File,"debugger/src/main/java/org/apache/pdfbox/debugger/hexviewer/AddressPane.java",debugger/src/main/java/org/apache/pdfbox/debugger/hexviewer/AddressPane.java,2,2,2,1,19,1,13,3,,,,1,0,0,,4,4,3,4,,2,1,1,0,,118,14,68,21,32,36,,,36,46,21,26,,,,,5,5,6,3,,2,,0,53,9,9,10,6
