Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"org.apache.mina.management",xmppserver/src/main/java/org/apache/mina/management/MINAStatCollector.java,1,1,1,1,9,0,6,2,,,,4,0,2,1,,31,23,31,,4,3,0,24,,431,72,261,87,135,98,,,122,174,93,102,,,,,6,6,6,1,,4,,0,38,43,43,45,31
Public Class,"org.apache.mina.management.MINAStatCollector",xmppserver/src/main/java/org/apache/mina/management/MINAStatCollector.java,1,1,1,1,10,0,7,2,1,16,0,,0,2,,,15,13,15,27,0,2,0,13,,414,68,248,74,135,98,,,109,161,80,102,,,,,4,4,5,1,1,2,87,0,40,22,22,24,15
Anonymous Class,"org.apache.mina.management.MINAStatCollector.(Anon_1)",xmppserver/src/main/java/org/apache/mina/management/MINAStatCollector.java,1,1,1,1,3,0,3,0,1,5,0,,0,0,,,6,0,6,18,0,0,0,6,,29,6,23,0,14,0,,,2,8,6,2,,,,,1,1,1,1,2,0,0,0,00,6,6,6,6
Public Method,"org.apache.mina.management.MINAStatCollector.(Anon_1).serviceActivated(IoService)",xmppserver/src/main/java/org/apache/mina/management/MINAStatCollector.java,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,0,2,0,0,1,0,1,1,0,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Method,"org.apache.mina.management.MINAStatCollector.(Anon_1).serviceDeactivated(IoService)",xmppserver/src/main/java/org/apache/mina/management/MINAStatCollector.java,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,0,2,0,0,1,0,1,1,0,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Method,"org.apache.mina.management.MINAStatCollector.(Anon_1).serviceIdle(IoService,IdleStatus)",xmppserver/src/main/java/org/apache/mina/management/MINAStatCollector.java,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,0,2,0,0,1,0,1,1,0,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Method,"org.apache.mina.management.MINAStatCollector.(Anon_1).sessionClosed(IoSession)",xmppserver/src/main/java/org/apache/mina/management/MINAStatCollector.java,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,0,2,0,0,1,0,1,1,0,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Method,"org.apache.mina.management.MINAStatCollector.(Anon_1).sessionCreated(IoSession)",xmppserver/src/main/java/org/apache/mina/management/MINAStatCollector.java,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,5,0,3,0,1,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Method,"org.apache.mina.management.MINAStatCollector.(Anon_1).sessionDestroyed(IoSession)",xmppserver/src/main/java/org/apache/mina/management/MINAStatCollector.java,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,5,0,3,0,1,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Class,"org.apache.mina.management.MINAStatCollector.IoSessionStat",xmppserver/src/main/java/org/apache/mina/management/MINAStatCollector.java,1,1,1,1,6,0,3,3,1,1,0,,0,0,,,8,9,8,20,4,0,0,4,,80,16,35,18,17,29,,,17,26,18,9,,,,,1,1,1,1,1,0,88,0,83,8,8,8,8
Public Method,"org.apache.mina.management.MINAStatCollector.IoSessionStat.getByteReadThroughput()",xmppserver/src/main/java/org/apache/mina/management/MINAStatCollector.java,,,,,,,,,,,,,,,,,,,,,,,,,1,7,0,3,1,1,4,1,1,1,2,1,1,1,1,1,1,,,,,,0,,1,33,1,1,1,1
Public Method,"org.apache.mina.management.MINAStatCollector.IoSessionStat.getByteWrittenThroughput()",xmppserver/src/main/java/org/apache/mina/management/MINAStatCollector.java,,,,,,,,,,,,,,,,,,,,,,,,,1,7,0,3,1,1,4,1,1,1,2,1,1,1,1,1,1,,,,,,0,,1,33,1,1,1,1
Method,"org.apache.mina.management.MINAStatCollector.IoSessionStat.getLastByteRead()",xmppserver/src/main/java/org/apache/mina/management/MINAStatCollector.java,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,3,1,1,3,1,1,1,2,1,1,1,1,1,1,,,,,,0,,1,00,1,1,1,1
Method,"org.apache.mina.management.MINAStatCollector.IoSessionStat.getLastByteWrite()",xmppserver/src/main/java/org/apache/mina/management/MINAStatCollector.java,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,3,1,1,3,1,1,1,2,1,1,1,1,1,1,,,,,,0,,1,00,1,1,1,1
Method,"org.apache.mina.management.MINAStatCollector.IoSessionStat.getLastMessageRead()",xmppserver/src/main/java/org/apache/mina/management/MINAStatCollector.java,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,3,1,1,3,1,1,1,2,1,1,1,1,1,1,,,,,,0,,1,00,1,1,1,1
Method,"org.apache.mina.management.MINAStatCollector.IoSessionStat.getLastMessageWrite()",xmppserver/src/main/java/org/apache/mina/management/MINAStatCollector.java,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,3,1,1,3,1,1,1,2,1,1,1,1,1,1,,,,,,0,,1,00,1,1,1,1
Public Method,"org.apache.mina.management.MINAStatCollector.IoSessionStat.getMessageReadThroughput()",xmppserver/src/main/java/org/apache/mina/management/MINAStatCollector.java,,,,,,,,,,,,,,,,,,,,,,,,,1,7,0,3,1,1,4,1,1,1,2,1,1,1,1,1,1,,,,,,0,,1,33,1,1,1,1
Public Method,"org.apache.mina.management.MINAStatCollector.IoSessionStat.getMessageWrittenThroughput()",xmppserver/src/main/java/org/apache/mina/management/MINAStatCollector.java,,,,,,,,,,,,,,,,,,,,,,,,,1,7,0,3,1,1,4,1,1,1,2,1,1,1,1,1,1,,,,,,0,,1,33,1,1,1,1
Public Constructor,"org.apache.mina.management.MINAStatCollector.MINAStatCollector(IoService)",xmppserver/src/main/java/org/apache/mina/management/MINAStatCollector.java,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,4,1,1,4,2,1,1,2,1,1,1,1,1,1,,,,,,0,,1,00,1,1,1,1
Public Constructor,"org.apache.mina.management.MINAStatCollector.MINAStatCollector(IoService,int)",xmppserver/src/main/java/org/apache/mina/management/MINAStatCollector.java,,,,,,,,,,,,,,,,,,,,,,,,,3,10,0,5,1,2,5,3,1,2,3,1,2,1,1,1,1,,,,,,0,,1,00,1,1,1,1
Private Class,"org.apache.mina.management.MINAStatCollector.Worker",xmppserver/src/main/java/org/apache/mina/management/MINAStatCollector.java,3,3,3,1,37,4,31,2,1,11,0,,0,0,,,2,1,2,86,0,1,0,1,,87,12,66,21,45,9,,,39,48,20,36,,,,,6,6,6,1,1,4,50,0,14,7,7,7,2
