Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Public Constructor,"Mini.ASCII_CharStream.ASCII_CharStream(java.io.InputStream,int,int,int)",examples/Mini/ASCII_CharStream.java,,,,,,,,,,,,,,,,,,,,,,,,,4,5,0,5,2,1,0,2,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Constructor,"Mini.ASCII_CharStream.ASCII_CharStream(java.io.Reader,int,int)",examples/Mini/ASCII_CharStream.java,,,,,,,,,,,,,,,,,,,,,,,,,4,5,0,5,2,1,0,2,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Constructor,"Mini.ASCII_CharStream.ASCII_CharStream(java.io.Reader,int,int,int)",examples/Mini/ASCII_CharStream.java,,,,,,,,,,,,,,,,,,,,,,,,,7,16,1,15,2,11,0,10,2,8,10,1,9,2,2,2,1,,,,,,1,,0,00,2,2,2,1
Public Static Final Method,"Mini.ASCII_CharStream.BeginToken()",examples/Mini/ASCII_CharStream.java,,,,,,,,,,,,,,,,,,,,,,,,,2,8,1,7,2,4,0,3,1,4,5,2,4,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Static Method,"Mini.ASCII_CharStream.Done()",examples/Mini/ASCII_CharStream.java,,,,,,,,,,,,,,,,,,,,,,,,,0,6,0,6,1,3,0,3,1,3,4,1,3,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Private Static Final Method,"Mini.ASCII_CharStream.ExpandBuff(boolean)",examples/Mini/ASCII_CharStream.java,,,,,,,,,,,,,,,,,,,,,,,,,9,49,9,40,4,29,0,11,3,24,27,4,23,3,3,3,1,,,,,,2,,0,00,3,3,3,1
Private Static Final Method,"Mini.ASCII_CharStream.FillBuff()",examples/Mini/ASCII_CharStream.java,,,,,,,,,,,,,,,,,,,,,,,,,9,44,1,43,2,29,0,8,28,16,26,2,24,10,10,10,1,,,,,,3,,0,00,10,10,10,1
Public Static Final Method,"Mini.ASCII_CharStream.GetImage()",examples/Mini/ASCII_CharStream.java,,,,,,,,,,,,,,,,,,,,,,,,,6,8,0,8,1,5,0,2,2,2,4,1,3,2,2,2,1,,,,,,1,,0,00,2,2,2,1
Public Static Final Method,"Mini.ASCII_CharStream.GetSuffix(int)",examples/Mini/ASCII_CharStream.java,,,,,,,,,,,,,,,,,,,,,,,,,4,15,2,13,2,8,0,2,2,5,7,2,5,2,2,2,1,,,,,,1,,0,00,2,2,2,1
Public Static Method,"Mini.ASCII_CharStream.ReInit(java.io.InputStream,int,int)",examples/Mini/ASCII_CharStream.java,,,,,,,,,,,,,,,,,,,,,,,,,4,5,0,5,2,1,0,1,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Static Method,"Mini.ASCII_CharStream.ReInit(java.io.InputStream,int,int,int)",examples/Mini/ASCII_CharStream.java,,,,,,,,,,,,,,,,,,,,,,,,,4,5,0,5,2,1,0,1,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Static Method,"Mini.ASCII_CharStream.ReInit(java.io.Reader,int,int)",examples/Mini/ASCII_CharStream.java,,,,,,,,,,,,,,,,,,,,,,,,,4,5,0,5,2,1,0,1,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Static Method,"Mini.ASCII_CharStream.ReInit(java.io.Reader,int,int,int)",examples/Mini/ASCII_CharStream.java,,,,,,,,,,,,,,,,,,,,,,,,,8,18,1,17,2,11,0,14,2,10,12,1,11,2,2,3,1,,,,,,1,,0,00,2,2,3,1
Private Static Final Method,"Mini.ASCII_CharStream.UpdateLineColumn(char)",examples/Mini/ASCII_CharStream.java,,,,,,,,,,,,,,,,,,,,,,,,,7,39,3,36,1,25,0,6,16,16,21,1,20,7,5,7,1,,,,,,2,,0,00,7,5,7,1
Public Static Method,"Mini.ASCII_CharStream.adjustBeginLineColumn(int,int)",examples/Mini/ASCII_CharStream.java,,,,,,,,,,,,,,,,,,,,,,,,,8,47,6,38,5,24,3,4,16,17,23,5,18,6,6,7,1,,,,,,3,,0,08,6,6,7,1
Public Static Final Method,"Mini.ASCII_CharStream.backup(int)",examples/Mini/ASCII_CharStream.java,,,,,,,,,,,,,,,,,,,,,,,,,5,6,1,5,1,3,0,2,2,2,4,1,3,2,2,2,1,,,,,,1,,0,00,2,2,2,1
Public Static Final Method,"Mini.ASCII_CharStream.getBeginColumn()",examples/Mini/ASCII_CharStream.java,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,1,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Static Final Method,"Mini.ASCII_CharStream.getBeginLine()",examples/Mini/ASCII_CharStream.java,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,1,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Static Final Method,"Mini.ASCII_CharStream.getColumn()",examples/Mini/ASCII_CharStream.java,,,,,,,,,,,,,,,,,,,,,,,,,2,7,0,3,1,1,4,1,1,1,2,1,1,1,1,1,1,,,,,,0,,1,33,1,1,1,1
Public Static Final Method,"Mini.ASCII_CharStream.getEndColumn()",examples/Mini/ASCII_CharStream.java,,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,3,1,1,0,1,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Static Final Method,"Mini.ASCII_CharStream.getEndLine()",examples/Mini/ASCII_CharStream.java,,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,3,1,1,0,1,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Static Final Method,"Mini.ASCII_CharStream.getLine()",examples/Mini/ASCII_CharStream.java,,,,,,,,,,,,,,,,,,,,,,,,,2,7,0,3,1,1,4,1,1,1,2,1,1,1,1,1,1,,,,,,0,,1,33,1,1,1,1
Public Static Final Method,"Mini.ASCII_CharStream.readChar()",examples/Mini/ASCII_CharStream.java,,,,,,,,,,,,,,,,,,,,,,,,,14,16,3,13,2,8,0,5,3,6,9,2,7,4,4,4,1,,,,,,1,,0,00,4,4,4,1
Public Class,"Mini.ASTExpr",examples/Mini/ASTExpr.java,2,1,3,1,8,0,6,1,4,21,7,,3,0,,,24,8,27,52,5,2,0,20,,285,38,196,44,142,70,,,150,198,46,155,,,,,21,7,21,1,2,2,81,0,36,75,48,82,27
