Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Private Method,"JasminVisitor.printEndMethod(Attribute)",examples/JasminVisitor.java,,,,,,,,,,,,,,,,,,,,,,,,,8,11,1,6,2,3,4,2,2,2,4,2,3,2,2,2,1,,,,,,1,,0,67,2,2,2,1
Private Method,"JasminVisitor.put(InstructionHandle,String)",examples/JasminVisitor.java,,,,,,,,,,,,,,,,,,,,,,,,,4,13,2,11,2,7,1,4,3,4,7,2,6,3,3,4,3,,,,,,2,,0,09,3,3,4,3
Public Method,"JasminVisitor.visitCode(Code)",examples/JasminVisitor.java,,,,,,,,,,,,,,,,,,,,,,,,,7,117,24,89,23,70,9,38,2080,51,77,31,63,18,18,18,1,,,,,,5,,0,10,18,18,18,1
Public Method,"JasminVisitor.visitConstantValue(ConstantValue)",examples/JasminVisitor.java,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,2,1,0,1,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Method,"JasminVisitor.visitDeprecated(Deprecated)",examples/JasminVisitor.java,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,1,0,1,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Method,"JasminVisitor.visitExceptionTable(ExceptionTable)",examples/JasminVisitor.java,,,,,,,,,,,,,,,,,,,,,,,,,2,8,1,7,2,3,0,4,2,2,5,2,3,2,2,2,1,,,,,,1,,0,00,2,2,2,1
Public Method,"JasminVisitor.visitField(Field)",examples/JasminVisitor.java,,,,,,,,,,,,,,,,,,,,,,,,,3,7,0,7,2,3,0,6,2,2,4,1,3,2,2,2,1,,,,,,1,,0,00,2,2,2,1
Public Method,"JasminVisitor.visitJavaClass(JavaClass)",examples/JasminVisitor.java,,,,,,,,,,,,,,,,,,,,,,,,,2,17,3,14,2,10,1,11,2,8,11,2,9,2,2,2,1,,,,,,1,,0,07,2,2,2,1
Public Method,"JasminVisitor.visitMethod(Method)",examples/JasminVisitor.java,,,,,,,,,,,,,,,,,,,,,,,,,4,11,2,9,3,5,1,7,2,4,6,2,5,2,2,3,1,,,,,,1,,0,11,2,2,3,1
Public Method,"JasminVisitor.visitSynthetic(Synthetic)",examples/JasminVisitor.java,,,,,,,,,,,,,,,,,,,,,,,,,2,6,0,6,2,2,0,1,2,1,3,1,2,2,2,2,1,,,,,,1,,0,00,2,2,2,1
