Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Private Method,"JasminVisitor.printEndMethod(Attribute)",examples/JasminVisitor.java,,,,,,,,,,,,,,,,,,,,,,,,,8,12,1,6,2,3,5,2,2,2,4,2,3,2,2,2,1,,,,,,1,,0,83,2,2,2,1
Private Method,"JasminVisitor.put(InstructionHandle,String)",examples/JasminVisitor.java,,,,,,,,,,,,,,,,,,,,,,,,,4,13,2,11,2,7,1,4,3,4,7,2,6,3,3,4,3,,,,,,2,,0,09,3,3,4,3
Public Method,"JasminVisitor.visitCode(Code)",examples/JasminVisitor.java,,,,,,,,,,,,,,,,,,,,,,,,,8,121,24,93,23,74,9,37,2080,51,77,31,63,18,18,18,1,,,,,,5,,0,10,18,18,18,1
Public Method,"JasminVisitor.visitConstantValue(ConstantValue)",examples/JasminVisitor.java,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,2,1,0,1,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Method,"JasminVisitor.visitDeprecated(Deprecated)",examples/JasminVisitor.java,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,1,0,1,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Method,"JasminVisitor.visitExceptionTable(ExceptionTable)",examples/JasminVisitor.java,,,,,,,,,,,,,,,,,,,,,,,,,2,8,1,7,2,3,0,4,2,2,5,2,3,2,2,2,1,,,,,,1,,0,00,2,2,2,1
Public Method,"JasminVisitor.visitField(Field)",examples/JasminVisitor.java,,,,,,,,,,,,,,,,,,,,,,,,,3,8,0,8,2,4,0,6,2,2,4,1,3,2,2,2,1,,,,,,1,,0,00,2,2,2,1
Public Method,"JasminVisitor.visitJavaClass(JavaClass)",examples/JasminVisitor.java,,,,,,,,,,,,,,,,,,,,,,,,,2,18,3,15,2,11,1,11,2,8,11,2,9,2,2,2,1,,,,,,1,,0,07,2,2,2,1
Public Method,"JasminVisitor.visitMethod(Method)",examples/JasminVisitor.java,,,,,,,,,,,,,,,,,,,,,,,,,4,12,2,10,3,6,1,7,2,4,6,2,5,2,2,3,1,,,,,,1,,0,10,2,2,3,1
Public Method,"JasminVisitor.visitSynthetic(Synthetic)",examples/JasminVisitor.java,,,,,,,,,,,,,,,,,,,,,,,,,2,6,0,6,2,2,0,1,2,1,3,1,2,2,2,2,1,,,,,,1,,0,00,2,2,2,1
