Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Public Static Method,"Id.main(String[])",examples/Id.java,,,,,,,,,,,,,,,,,,,,,,,,,1,21,5,16,5,10,1,17,8,8,14,7,10,4,4,4,1,,,,,,1,,0,06,4,4,4,1
Public Class,"JasminVisitor",examples/JasminVisitor.java,3,3,3,1,17,2,14,1,1,42,0,,1,0,,,13,6,14,84,0,3,0,11,,273,55,204,60,130,22,,,103,159,64,120,,,,,18,18,18,3,2,5,73,0,11,43,43,45,16
Public Constructor,"JasminVisitor.JasminVisitor(JavaClass,OutputStream)",examples/JasminVisitor.java,,,,,,,,,,,,,,,,,,,,,,,,,3,6,0,6,1,4,0,9,1,4,5,1,4,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Method,"JasminVisitor.disassemble()",examples/JasminVisitor.java,,,,,,,,,,,,,,,,,,,,,,,,,3,7,0,4,1,2,3,2,1,2,3,1,2,1,1,1,1,,,,,,0,,0,75,1,1,1,1
Private Method,"JasminVisitor.get(InstructionHandle)",examples/JasminVisitor.java,,,,,,,,,,,,,,,,,,,,,,,,,3,4,0,4,2,2,0,6,1,2,3,2,2,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Static Method,"JasminVisitor.main(String[])",examples/JasminVisitor.java,,,,,,,,,,,,,,,,,,,,,,,,,5,30,5,25,7,17,0,15,6,13,20,8,16,5,5,5,1,,,,,,2,,0,00,5,5,5,1
Private Method,"JasminVisitor.printEndMethod(Attribute)",examples/JasminVisitor.java,,,,,,,,,,,,,,,,,,,,,,,,,8,11,1,6,2,3,4,2,2,2,4,2,3,2,2,2,1,,,,,,1,,0,67,2,2,2,1
Private Method,"JasminVisitor.put(InstructionHandle,String)",examples/JasminVisitor.java,,,,,,,,,,,,,,,,,,,,,,,,,4,13,2,11,2,7,1,4,3,4,7,2,6,3,3,4,3,,,,,,2,,0,09,3,3,4,3
Public Method,"JasminVisitor.visitCode(Code)",examples/JasminVisitor.java,,,,,,,,,,,,,,,,,,,,,,,,,7,117,24,89,23,70,9,38,2080,51,77,31,63,18,18,18,1,,,,,,5,,0,10,18,18,18,1
Public Method,"JasminVisitor.visitConstantValue(ConstantValue)",examples/JasminVisitor.java,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,2,1,0,1,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Method,"JasminVisitor.visitDeprecated(Deprecated)",examples/JasminVisitor.java,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,1,0,1,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
