metrics,count,percent
rfc,1,1.4
modifiers,1,1.4
methodsInvokedQty,1,1.4
fanout,1,1.4
cbo,1,1.4
CountStmtDecl,1,1.4
CountLineComment,1,1.4
CountLineCodeDecl,2,2.9
SumCyclomatic,3,4.3
uniqueWordsQty,4,5.7
CountLineCodeExe,4,5.7
BOM,4,5.7
line,6,8.6
CountOutput,6,8.6
CountLineCode,6,8.6
FRCH,7,10.0
CountLine,7,10.0
CountInput,7,10.0
ATAF,7,10.0
