metrics,count,percent
variablesQty,1,0.9
stringLiteralsQty,1,0.9
returnsQty,1,0.9
modifiers,1,0.9
methodsInvokedLocalQty,1,0.9
fanin,1,0.9
comparisonsQty,1,0.9
cbo,1,0.9
assignmentsQty,1,0.9
SumCyclomaticStrict,1,0.9
CyclomaticModified,1,0.9
CountStmtDecl,1,0.9
CountLineCodeDecl,1,0.9
BOM,1,0.9
maxNestedBlocksQty,2,1.7
mathOperationsQty,2,1.7
loopQty,2,1.7
innerClassesQty,2,1.7
hasJavaDoc,2,1.7
TACH,2,1.7
PercentLackOfCohesion,2,1.7
MaxNesting,2,1.7
MaxInheritanceTree,2,1.7
MaxEssential,2,1.7
MaxCyclomaticStrict,2,1.7
MaxCyclomaticModified,2,1.7
MaxCyclomatic,2,1.7
CountLineBlank,2,1.7
CountDeclMethodPublic,2,1.7
CountDeclMethodProtected,2,1.7
CountDeclMethodPrivate,2,1.7
CountDeclMethodDefault,2,1.7
CountDeclMethodAll,2,1.7
CountDeclMethod,2,1.7
CountDeclInstanceVariable,2,1.7
CountDeclInstanceMethod,2,1.7
CountDeclFunction,2,1.7
CountDeclFile,2,1.7
CountDeclClassVariable,2,1.7
CountDeclClassMethod,2,1.7
CountDeclClass,2,1.7
CountClassDerived,2,1.7
CountClassCoupled,2,1.7
CountClassBase,2,1.7
CHO,2,1.7
CHD,2,1.7
AvgLineComment,2,1.7
AvgLineCode,2,1.7
AvgLineBlank,2,1.7
AvgLine,2,1.7
AvgEssential,2,1.7
AvgCyclomaticStrict,2,1.7
AvgCyclomaticModified,2,1.7
AvgCyclomatic,2,1.7
ACDF,2,1.7
lambdasQty,3,2.6
FRCH,3,2.6
ATAF,3,2.6
parenthesizedExpsQty,4,3.4
parametersQty,4,3.4
anonymousClassesQty,4,3.4
