file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/users/farah/cpmp/1.ck/easymock/core/src/test/java/org/easymock/tests2/UsageMatchersTest.java,org.easymock.tests2.UsageMatchersTest,additionalMatchersFailAtReplay/0,false,29,3,3,0,3,1,3,5,0,1,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,11,1,0,false
/users/farah/cpmp/1.ck/easymock/core/src/test/java/org/easymock/tests2/UsageMatchersTest.java,org.easymock.tests2.UsageMatchersTest,arraysArgumentsAreMatchedWithAryEq/0,false,38,5,6,0,6,1,7,7,0,1,0,7,0,0,0,0,0,0,3,2,1,0,0,0,0,0,18,1,0,false
/users/farah/cpmp/1.ck/easymock/core/src/test/java/org/easymock/tests/UsageFloatingPointReturnValueTest.java,org.easymock.tests.UsageFloatingPointReturnValueTest,setup/0,false,32,3,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/users/farah/cpmp/1.ck/easymock/core/src/test/java/org/easymock/tests/UsageFloatingPointReturnValueTest.java,org.easymock.tests.UsageFloatingPointReturnValueTest,returnDouble/0,false,51,4,7,0,7,1,8,9,0,0,0,8,0,0,0,0,0,0,0,12,0,0,0,0,0,0,10,1,0,false
/users/farah/cpmp/1.ck/easymock/core/src/test/java/org/easymock/tests/UsageFloatingPointReturnValueTest.java,org.easymock.tests.UsageFloatingPointReturnValueTest,returnFloat/0,false,37,4,7,0,7,1,8,9,0,0,0,8,0,0,0,0,0,0,0,12,0,0,0,0,0,0,10,1,0,false
/users/farah/cpmp/1.ck/easymock/core/src/main/java/org/easymock/LogicalOperator.java,org.easymock.LogicalOperator,getSymbol/0,false,61,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/users/farah/cpmp/1.ck/easymock/core/src/main/java/org/easymock/LogicalOperator.java,org.easymock.LogicalOperator,matchResult/1[int],false,65,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1025,0,false
/users/farah/cpmp/1.ck/easymock/core/src/main/java/org/easymock/LogicalOperator.java,org.easymock.LogicalOperator,LogicalOperator/1[java.lang.String],true,57,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,false
/users/farah/cpmp/1.ck/easymock/core/src/test/java/org/easymock/tests/MockClassControlTest.java,org.easymock.tests.MockClassControlTest,testEquals/1[java.lang.Class<?>],false,108,2,4,2,2,1,3,6,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,true
/users/farah/cpmp/1.ck/easymock/core/src/test/java/org/easymock/tests/MockClassControlTest.java,org.easymock.tests.MockClassControlTest,setUp/0,false,83,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
