project,commit,commitprevious,release,file,method,BOM,TACH,FCH,LCH,CHO,FRCH,CHD,WCH,WCD,WFR,ATAF,LCA,LCD,CSB,CSBS,ACDF
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVFormatTest.java,/src/test/java/org/apache/commons/csv/CSVFormatTest/testWithHeader(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVFormatTest.java,/src/test/java/org/apache/commons/csv/CSVFormatTest/testWithRecordSeparatorLF(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVFormatTest.java,/src/test/java/org/apache/commons/csv/CSVFormatTest/testWithRecordSeparatorCRLF(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVFormatTest.java,/src/test/java/org/apache/commons/csv/CSVFormatTest/testWithRecordSeparatorCR(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVFormatTest.java,/src/test/java/org/apache/commons/csv/CSVFormatTest/testEqualsNullString(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVFormatTest.java,/src/test/java/org/apache/commons/csv/CSVFormatTest/testEscapeSameAsCommentStartThrowsException(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVFormatTest.java,"/src/test/java/org/apache/commons/csv/CSVFormatTest/assertNotEquals(Object, Object)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVFormatTest.java,/src/test/java/org/apache/commons/csv/CSVFormatTest/testQuoteCharSameAsCommentStartThrowsExceptionForWrapperType(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVFormatTest.java,/src/test/java/org/apache/commons/csv/CSVFormatTest/testWithRecordSeparatorIllegal(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVFormatTest.java,/src/test/java/org/apache/commons/csv/CSVFormatTest/testEqualsQuotePolicy(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVFormatTest.java,/src/test/java/org/apache/commons/csv/CSVFormatTest/copy(CSVFormat),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVFormatTest.java,/src/test/java/org/apache/commons/csv/CSVFormatTest/testDelimiterSameAsEscapeThrowsException(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVFormatTest.java,/src/test/java/org/apache/commons/csv/CSVFormatTest/testWithIgnoreSurround(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVFormatTest.java,/src/test/java/org/apache/commons/csv/CSVFormatTest/testWithEscape(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVFormatTest.java,/src/test/java/org/apache/commons/csv/CSVFormatTest/testWithQuoteLFThrowsException(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
