Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"java/org/apache/commons/io/input/CharSequenceReader.java",java/org/apache/commons/io/input/CharSequenceReader.java,2,2,2,1,12,0,6,5,,,,1,0,0,,9,9,3,9,,0,0,0,9,,155,12,69,20,35,74,,,32,50,21,31,,,,,6,6,7,4,,2,,1,07,18,18,19,12
File,"java/org/apache/commons/io/input/ClassLoaderObjectInputStream.java",java/org/apache/commons/io/input/ClassLoaderObjectInputStream.java,1,1,1,1,18,1,7,9,,,,1,0,0,,2,2,1,2,,0,0,1,1,,77,7,24,14,7,46,,,12,16,11,6,,,,,2,2,2,1,,1,,1,92,3,3,3,2
File,"java/org/apache/commons/io/input/CloseShieldInputStream.java",java/org/apache/commons/io/input/CloseShieldInputStream.java,1,1,1,1,8,0,3,5,,,,1,0,0,,2,2,0,2,,0,0,0,2,,52,5,10,5,2,37,,,4,7,5,2,,,,,1,1,1,1,,0,,3,70,2,2,2,2
File,"java/org/apache/commons/io/input/ClosedInputStream.java",java/org/apache/commons/io/input/ClosedInputStream.java,1,1,1,1,8,0,3,5,,,,1,0,1,,1,1,0,1,,0,0,0,1,,48,5,8,5,2,35,,,4,6,5,2,,,,,1,1,1,1,,0,,4,38,1,1,1,1
File,"java/org/apache/commons/io/input/CountingInputStream.java",java/org/apache/commons/io/input/CountingInputStream.java,1,1,1,1,14,0,5,9,,,,1,0,0,,9,9,1,9,,0,0,0,9,,175,13,51,21,25,111,,,27,39,21,24,,,,,2,2,2,1,,1,,2,18,14,14,14,9
File,"java/org/apache/commons/io/input/DemuxInputStream.java",java/org/apache/commons/io/input/DemuxInputStream.java,1,1,1,1,13,0,8,5,,,,1,0,0,,4,4,1,4,,0,1,0,3,,91,6,40,15,13,45,,,13,20,12,12,,,,,2,2,2,1,,1,,1,12,6,6,6,4
File,"java/org/apache/commons/io/input/NullInputStream.java",java/org/apache/commons/io/input/NullInputStream.java,1,1,1,1,15,0,6,8,,,,1,0,0,,16,16,7,16,,0,1,2,13,,329,20,123,31,65,186,,,57,89,31,58,,,,,4,4,4,3,,1,,1,51,31,31,31,18
File,"java/org/apache/commons/io/input/NullReader.java",java/org/apache/commons/io/input/NullReader.java,1,1,1,1,15,0,6,8,,,,1,0,0,,15,15,7,15,,0,1,2,12,,313,19,113,29,58,181,,,53,82,29,53,,,,,4,4,4,1,,1,,1,60,28,28,28,15
File,"java/org/apache/commons/io/input/ProxyInputStream.java",java/org/apache/commons/io/input/ProxyInputStream.java,1,1,1,1,8,0,3,5,,,,1,0,0,,10,10,0,10,,0,0,0,10,,129,13,36,15,10,80,,,14,25,15,10,,,,,1,1,1,1,,0,,2,22,10,10,10,10
File,"java/org/apache/commons/io/input/ProxyReader.java",java/org/apache/commons/io/input/ProxyReader.java,1,1,1,1,8,0,3,5,,,,1,0,0,,10,10,0,10,,0,0,0,10,,130,13,36,15,10,81,,,14,25,15,10,,,,,1,1,1,1,,0,,2,25,10,10,10,10
File,"java/org/apache/commons/io/input/SwappedDataInputStream.java",java/org/apache/commons/io/input/SwappedDataInputStream.java,1,1,1,1,12,0,5,6,,,,1,0,0,,16,16,0,16,,0,0,0,16,,251,24,101,42,24,126,,,26,45,26,20,,,,,3,3,3,1,,2,,1,25,18,18,18,16
File,"java/org/apache/commons/io/input/TeeInputStream.java",java/org/apache/commons/io/input/TeeInputStream.java,1,1,1,1,15,0,6,8,,,,1,0,0,,6,6,2,6,,0,0,0,6,,147,11,47,17,21,89,,,21,33,16,20,,,,,2,2,2,1,,1,,1,89,10,10,10,6
File,"java/org/apache/commons/io/output/ByteArrayOutputStream.java",java/org/apache/commons/io/output/ByteArrayOutputStream.java,2,2,2,1,16,0,9,6,,,,1,0,1,,14,14,5,14,,0,2,0,12,,308,21,148,45,91,139,,,82,113,47,73,,,,,5,5,9,4,,2,,0,94,29,29,33,21
File,"java/org/apache/commons/io/output/CloseShieldOutputStream.java",java/org/apache/commons/io/output/CloseShieldOutputStream.java,1,1,1,1,8,0,3,5,,,,1,0,0,,2,2,0,2,,0,0,0,2,,52,5,10,5,2,37,,,4,7,5,2,,,,,1,1,1,1,,0,,3,70,2,2,2,2
File,"java/org/apache/commons/io/output/ClosedOutputStream.java",java/org/apache/commons/io/output/ClosedOutputStream.java,1,1,1,1,9,0,3,6,,,,1,0,1,,1,1,0,1,,0,0,0,1,,50,5,9,6,2,36,,,5,7,6,2,,,,,1,1,1,1,,0,,4,00,1,1,1,1
File,"java/org/apache/commons/io/output/CountingOutputStream.java",java/org/apache/commons/io/output/CountingOutputStream.java,1,1,1,1,13,0,4,8,,,,1,0,0,,8,8,1,8,,0,0,0,8,,154,12,43,16,19,99,,,21,32,16,18,,,,,2,2,2,1,,1,,2,30,10,10,10,8
File,"java/org/apache/commons/io/output/DeferredFileOutputStream.java",java/org/apache/commons/io/output/DeferredFileOutputStream.java,1,1,1,1,16,0,8,8,,,,1,0,0,,9,9,7,9,,0,0,2,7,,269,41,90,27,35,138,,,40,56,26,32,,,,,3,3,3,1,,2,,1,53,14,14,14,9
File,"java/org/apache/commons/io/output/DemuxOutputStream.java",java/org/apache/commons/io/output/DemuxOutputStream.java,1,1,1,1,12,0,7,5,,,,1,0,0,,5,5,1,5,,0,1,0,4,,102,7,45,18,14,50,,,14,23,14,14,,,,,2,2,2,1,,1,,1,11,8,8,8,5
File,"java/org/apache/commons/io/output/FileWriterWithEncoding.java",java/org/apache/commons/io/output/FileWriterWithEncoding.java,1,1,1,1,12,0,4,7,,,,1,1,0,,20,19,1,20,,0,1,0,19,,318,24,110,36,50,184,,,52,80,36,45,,,,,9,9,9,1,,2,,1,67,28,28,28,20
File,"java/org/apache/commons/io/output/LockableFileWriter.java",java/org/apache/commons/io/output/LockableFileWriter.java,1,1,1,1,13,0,6,7,,,,1,0,1,,18,18,2,18,,0,3,0,15,,333,27,130,37,67,176,,,60,91,36,57,,,,,6,6,6,1,,2,,1,35,29,29,29,18
File,"java/org/apache/commons/io/output/NullOutputStream.java",java/org/apache/commons/io/output/NullOutputStream.java,1,1,1,1,8,0,2,6,,,,1,0,1,,3,3,0,3,,0,0,0,3,,65,7,12,8,1,46,,,4,8,8,1,,,,,1,1,1,1,,0,,3,83,3,3,3,3
