Dataset,Algoritm,Approach,window,model,resample,F1-Score,Accuracy,Sensitivity,Specificity,ROC AUC score
commons-bcel,MLP,trad,0,Str,SMOTE,0.91640421,0.776596056371041,0.5920529801324503,0.7807706136145733,0.6864117968735118
commons-bcel,RandomForest,trad,0,StrEvo,SMOTE,0.91640421,0.9715800884826112,0.3245033112582781,0.9862176414189836,0.655360476338631
commons-bcel,DT,trad,0,StrEvo,SMOTE,0.91640421,0.9694119715214908,0.4052980132450331,0.9821728187919464,0.6937354160184898
commons-bcel,LogisticRegression,trad,0,StrEvo,SMOTE,0.91640421,0.8105241569247897,0.7880794701986755,0.8110318791946308,0.7995556746966532
commons-bcel,MLP,trad,0,StrEvo,SMOTE,0.91640421,0.9283935425273212,0.6251655629139072,0.9352528763183126,0.7802092196161099
commons-bcel,RandomForest,trad,0,Evo,SMOTE,0.91640421,0.8147138964577657,0.7377483443708609,0.8164549376797698,0.7771016410253153
commons-bcel,DT,trad,0,Evo,SMOTE,0.91640421,0.8147138964577657,0.7377483443708609,0.8164549376797698,0.7771016410253153
commons-bcel,LogisticRegression,trad,0,Evo,SMOTE,0.91640421,0.8514839881632533,0.6503311258278146,0.856034276126558,0.7531827009771863
commons-bcel,MLP,trad,0,Evo,SMOTE,0.91640421,0.815680759426914,0.7337748344370861,0.8175335570469798,0.775654195742033
commons-bcel,RandomForest,trad,0,Str,ADA,0.91640421,0.9213911107204594,0.1298013245033112,0.93929769894535,0.5345495117243306
commons-bcel,DT,trad,0,Str,ADA,0.91640421,0.9223286748117548,0.1245033112582781,0.94037631831256,0.532439814785419
commons-bcel,LogisticRegression,trad,0,Str,ADA,0.91640421,0.6884943306671355,0.6728476821192053,0.6888482742090125,0.6808479781641089
commons-bcel,MLP,trad,0,Str,ADA,0.91640421,0.771117166212534,0.5748344370860927,0.7755572866730585,0.6751958618795756
commons-bcel,RandomForest,trad,0,StrEvo,ADA,0.91640421,0.9708183176584336,0.3139072847682119,0.9856783317353788,0.6497928082517954
commons-bcel,DT,trad,0,StrEvo,ADA,0.91640421,0.9674489467053412,0.3960264900662251,0.9803751198465964,0.6882008049564108
commons-bcel,LogisticRegression,trad,0,StrEvo,ADA,0.91640421,0.7924174504116492,0.8211920529801324,0.7917665388302972,0.8064792959052148
commons-bcel,MLP,trad,0,StrEvo,ADA,0.91640421,0.921918490521813,0.6649006622516557,0.927732502396932,0.7963165823242937
commons-bcel,RandomForest,trad,0,Evo,ADA,0.91640421,0.8147138964577657,0.7377483443708609,0.8164549376797698,0.7771016410253153
commons-bcel,DT,trad,0,Evo,ADA,0.91640421,0.8147138964577657,0.7377483443708609,0.8164549376797698,0.7771016410253153
commons-bcel,LogisticRegression,trad,0,Evo,ADA,0.91640421,0.8514839881632533,0.6503311258278146,0.856034276126558,0.7531827009771863
commons-bcel,MLP,trad,0,Evo,ADA,0.91640421,0.815680759426914,0.7337748344370861,0.8175335570469798,0.775654195742033
commons-bcel,RandomForest,trad,0,Str,RUS,0.91640421,0.6873223755530163,0.7298013245033113,0.6863614573346117,0.7080813909189615
commons-bcel,DT,trad,0,Str,RUS,0.91640421,0.6599572236383346,0.752317880794702,0.6578679290508149,0.7050929049227584
commons-bcel,LogisticRegression,trad,0,Str,RUS,0.91640421,0.6969617063666461,0.5960264900662252,0.699244966442953,0.647635728254589
commons-bcel,MLP,trad,0,Str,RUS,0.91640421,0.6577891066772142,0.785430463576159,0.6549017257909875,0.7201660946835733
