Dataset,Algoritm,window,model,resample,F1-Score(micro),F1-Score(macro),F1-Score(weighted),F1-Score(None),Accuracy,precision,Sensitivity,Specificity,ROC AUC score,Confusion matrix
Openfire,RandomForest,2,model1,NONE,0.9368735401082168,0.5432803130904301,0.9574201977001418,[0.96726354 0.11929709],0.9368735401082168,0.07117542823390431,0.3683138053998981,0.9435509925691926,0.6559323989845453,"[157707, 9435, 1240, 723]"
Openfire,DT,2,model1,NONE,0.8761420419266136,0.5035760151808519,0.9236505809212591,[0.93363498 0.07351705],0.8761420419266136,0.04025382677775625,0.42333163525216505,0.881460075863637,0.6523958555579009,"[147329, 19813, 1132, 831]"
Openfire,LogisticRegression,2,model1,NONE,0.9880902397918453,0.5024072779085085,0.9825958584406701,[0.99400905 0.0108055 ],0.9880902397918453,0.1506849315068493,0.0056036678553234845,0.9996290579267928,0.5026163628910582,"[167080, 62, 1952, 11]"
Openfire,MLP,2,model1,NONE,0.9884746163626149,0.5415135923443368,0.9836908918323473,[0.99420063 0.08882655],0.9884746163626149,0.5397727272727273,0.048395313295975545,0.9995153821301648,0.5239553477130702,"[167061, 81, 1868, 95]"
Openfire,RandomForest,2,model2,NONE,0.9428757280979273,0.5514264310319504,0.9607370224700056,[0.97046558 0.13238728],0.9428757280979273,0.08036201068585759,0.37544574630667343,0.9495399121704897,0.6624928292385815,"[158708, 8434, 1226, 737]"
Openfire,DT,2,model2,NONE,0.903267200851542,0.5192618096617194,0.9389447894174623,[0.94891988 0.08960374],0.903267200851542,0.05029678225554514,0.41008660213958226,0.9090593626975865,0.6595729824185844,"[151942, 15200, 1158, 805]"
Openfire,LogisticRegression,2,model2,NONE,0.9881375476774785,0.5024405601328679,0.9826200145498807,[0.99403299 0.01084813],0.9881375476774785,0.16923076923076924,0.0056036678553234845,0.9996769214201099,0.5026402946377168,"[167088, 54, 1952, 11]"
Openfire,MLP,2,model2,NONE,0.9884864433340232,0.5470337356672258,0.983824458191779,[0.99420617 0.0998613 ],0.9884864433340232,0.54,0.05501782985226694,0.9994495698268538,0.5272336998395604,"[167050, 92, 1855, 108]"
Openfire,RandomForest,2,model3,NONE,0.3572691523018243,0.2738040763770804,0.5142833677807657,[0.51999912 0.02760904],0.3572691523018243,0.014051287655265362,0.7860417727967397,0.3522334302569073,0.5691376015268235,"[58873, 108269, 420, 1543]"
Openfire,DT,2,model3,NONE,0.3560805416752905,0.27313494864536725,0.5129751256447492,[0.51867568 0.02759421],0.3560805416752905,0.014043284219711499,0.7870606214977076,0.3510188941139869,0.5690397578058473,"[58670, 108472, 418, 1545]"
