Dataset,Algoritm,window,model,resample,F1-Score(micro),F1-Score(macro),F1-Score(weighted),F1-Score(None),Accuracy,precision,Sensitivity,Specificity,ROC AUC score,Confusion matrix
commons-io,DT,2,model2,TL,0.9374391056868878,0.63062544589715,0.9532864550194134,[0.96726941 0.29398148],0.9374391056868878,0.19198790627362056,0.6271604938271605,0.9440196899874319,0.7855900919072962,"[18027, 1069, 151, 254]"
commons-io,LogisticRegression,2,model2,TL,0.9793343931080457,0.5161548941576537,0.9698911632814367,[0.98955444 0.04275534],0.9793343931080457,0.5625,0.022222222222222223,0.999633431085044,0.510927826653633,"[19089, 7, 396, 9]"
commons-io,MLP,2,model2,TL,0.9833854674119276,0.745002416662281,0.9813120216244471,[0.99155282 0.49845201],0.9833854674119276,0.6680497925311203,0.39753086419753086,0.9958106409719313,0.6966707525847311,"[19016, 80, 244, 161]"
commons-io,RandomForest,2,model3,TL,0.8583662376288397,0.5390270107983627,0.906765874003861,[0.92270234 0.15535168],0.8583662376288396,0.08865619546247819,0.6271604938271605,0.8632697947214076,0.745215144274284,"[16485, 2611, 151, 254]"
commons-io,DT,2,model3,TL,0.8459566176093534,0.534061775254978,0.899441060647998,[0.91527527 0.15284828],0.8459566176093534,0.08627825533269659,0.6691358024691358,0.8497067448680352,0.7594212736685855,"[16226, 2870, 134, 271]"
commons-io,LogisticRegression,2,model3,TL,0.9792318342649095,0.49475347824960486,0.9689567120306092,[0.98950696 0.        ],0.9792318342649095,nan,0.0,1.0,0.5,"[19096, 0, 405, 0]"
commons-io,MLP,2,model3,TL,0.9792318342649095,0.49475347824960486,0.9689567120306092,[0.98950696 0.        ],0.9792318342649095,nan,0.0,1.0,0.5,"[19096, 0, 405, 0]"
commons-io,RandomForest,2,model1,ROS,0.819906671452746,0.4941755922178942,0.8832253463222214,[0.90008535 0.08826584],0.819906671452746,0.04931824775166812,0.41975308641975306,0.8283933808127356,0.6240732336162443,"[15819, 3277, 235, 170]"
commons-io,DT,2,model1,ROS,0.8216501717860623,0.49814423297024724,0.8843388744984072,[0.90107515 0.09521332],0.8216501717860623,0.05321314335562664,0.45185185185185184,0.8294930875576036,0.6406724697047277,"[15840, 3256, 222, 183]"
commons-io,LogisticRegression,2,model1,ROS,0.6760166145325881,0.4435155288969557,0.7882737828926402,[0.80321435 0.08381671],0.6760166145325881,0.04452318594977661,0.7135802469135802,0.6752199413489736,0.694400094131277,"[12894, 6202, 116, 289]"
commons-io,MLP,2,model1,ROS,0.7827290908158556,0.4957111662442997,0.8603558119870235,[0.87615819 0.11526415],0.7827290908158556,0.06295620437956205,0.6814814814814815,0.784876413908672,0.7331789476950766,"[14988, 4108, 129, 276]"
commons-io,RandomForest,2,model2,ROS,0.9431311214809497,0.6215977012348994,0.9559201955505937,[0.97040852 0.27278689],0.9431311214809497,0.18571428571428572,0.5135802469135803,0.9522413070800168,0.7329107769967985,"[18184, 912, 197, 208]"
commons-io,DT,2,model2,ROS,0.9379518999025691,0.6274803688511443,0.9534379819996125,[0.9675638  0.28739694],0.9379518999025691,0.18870843000773396,0.6024691358024692,0.9450670297444491,0.7737680827734592,"[18047, 1049, 161, 244]"
commons-io,LogisticRegression,2,model2,ROS,0.7425773037280139,0.47865335285871413,0.8341850693054229,[0.84959252 0.10771418],0.7425773037280139,0.05803485922237119,0.7481481481481481,0.7424591537494764,0.7453036509488121,"[14178, 4918, 102, 303]"
commons-io,MLP,2,model2,ROS,0.9210296907850878,0.6196330223172648,0.9441566198938581,[0.95822029 0.28104575],0.9210296907850879,0.1732872769142199,0.7432098765432099,0.9248010054461667,0.8340054409946883,"[17660, 1436, 104, 301]"
commons-io,RandomForest,2,model3,ROS,0.8480590738936464,0.5341442007456454,0.9006723675378295,[0.91655637 0.15173204],0.8480590738936464,0.0858160621761658,0.654320987654321,0.8521679932970255,0.7532444904756732,"[16273, 2823, 140, 265]"
commons-io,DT,2,model3,ROS,0.8480590738936464,0.5341442007456454,0.9006723675378295,[0.91655637 0.15173204],0.8480590738936464,0.0858160621761658,0.654320987654321,0.8521679932970255,0.7532444904756732,"[16273, 2823, 140, 265]"
commons-io,LogisticRegression,2,model3,ROS,0.8218040100507666,0.5046498394767674,0.884547852947584,[0.90101125 0.10828843],0.8218040100507666,0.060423825887743414,0.5209876543209877,0.8281839128613322,0.67458578359116,"[15815, 3281, 194, 211]"
commons-io,MLP,2,model3,ROS,0.8278037023742372,0.5205620530644208,0.888421489823743,[0.90436318 0.13676093],0.8278037023742372,0.07632711621233859,0.6567901234567901,0.8314306661080855,0.7441103947824378,"[15877, 3219, 139, 266]"
commons-io,RandomForest,2,model1,SMOTE,0.9115429977949848,0.5152959564593179,0.9353420913053336,[0.95354536 0.07704655],0.9115429977949848,0.04918032786885246,0.17777777777777778,0.9271051529116046,0.5524414653446912,"[17704, 1392, 333, 72]"
commons-io,DT,2,model1,SMOTE,0.8379057484231578,0.48925838008252664,0.8937126974642755,[0.91124028 0.06727648],0.8379057484231578,0.03820375335120643,0.2814814814814815,0.8497067448680352,0.5655941131747583,"[16226, 2870, 291, 114]"
commons-io,LogisticRegression,2,model1,SMOTE,0.6737090405620224,0.4425297846149884,0.7866109657669245,[0.80152219 0.08353738],0.6737090405620224,0.04435607219333129,0.7160493827160493,0.6728110599078341,0.6944302213119418,"[12848, 6248, 115, 290]"
