Dataset,Algoritm,window,model,resample,F1-Score(micro),F1-Score(macro),F1-Score(weighted),F1-Score(None),Accuracy,precision,Sensitivity,Specificity,ROC AUC score,Confusion matrix
commons-bcel,LogisticRegression,4,model3,ROS,0.8633714073924323,0.5663922681623312,0.9089665679671703,[0.92524105 0.20754348],0.8633714073924323,0.11948694869486949,0.7890044576523031,0.8650968765083086,0.8270506670803058,"[25093, 3913, 142, 531]"
commons-bcel,MLP,4,model3,ROS,0.8643148354055056,0.5667775525085968,0.9095212440160825,[0.92580378 0.20775133],0.8643148354055056,0.11972789115646258,0.7845468053491828,0.8661656209060195,0.825356213127601,"[25124, 3882, 145, 528]"
commons-bcel,RandomForest,4,model1,SMOTE,0.9286364095825331,0.5300183135492811,0.9432201763126122,[0.96284993 0.0971867 ],0.9286364095825331,0.06814106395696354,0.16939078751857356,0.9462524994828656,0.5578216435007196,"[27447, 1559, 559, 114]"
commons-bcel,DT,4,model1,SMOTE,0.8119545806799421,0.4993497578306175,0.8770161592373169,[0.89495775 0.10374177],0.8119545806799421,0.05815628375945265,0.4799405646359584,0.8196580017927325,0.6497992832143455,"[23775, 5231, 350, 323]"
commons-bcel,LogisticRegression,4,model1,SMOTE,0.6819973718791065,0.4479358510539016,0.7911009258037349,[0.80740348 0.08846822],0.6819973718791065,0.047309162276624316,0.6805349182763745,0.6820313038681652,0.6812831110722698,"[19783, 9223, 215, 458]"
commons-bcel,MLP,4,model1,SMOTE,0.8174466794703324,0.5121032309038546,0.8805727538066197,[0.89807743 0.12612903],0.8174466794703326,0.07074362221820156,0.5809806835066865,0.8229331862373302,0.7019569348720083,"[23870, 5136, 282, 391]"
commons-bcel,RandomForest,4,model2,SMOTE,0.9788065635634624,0.7068620836637098,0.9763997226827992,[0.9892045  0.42451967],0.9788065635634624,0.5523809523809524,0.3447251114413076,0.9935185823622699,0.6691218469017888,"[28818, 188, 441, 232]"
commons-bcel,DT,4,model2,SMOTE,0.9670137134000472,0.6996233897502826,0.970174423246775,[0.98302734 0.41621944],0.9670137134000472,0.34760956175298807,0.5185735512630015,0.9774184651451424,0.747996008204072,"[28351, 655, 324, 349]"
commons-bcel,LogisticRegression,4,model2,SMOTE,0.8363489335894067,0.5503352124711768,0.8926937574835472,[0.90895799 0.19171243],0.8363489335894067,0.10794602698650675,0.8558692421991084,0.8358960215127904,0.8458826318559495,"[24246, 4760, 97, 576]"
commons-bcel,MLP,4,model2,SMOTE,0.9575120455540955,0.6982882000516256,0.9652670882603307,[0.97795031 0.41862609],0.9575120455540955,0.303475935828877,0.674591381872214,0.9640763979866235,0.8193338899294187,"[27964, 1042, 219, 454]"
commons-bcel,RandomForest,4,model3,SMOTE,0.865224569560969,0.5671334092236653,0.9100550400587307,[0.92634603 0.20792079],0.865224569560969,0.11994516792323509,0.7800891530460624,0.8671998896779977,0.82364452136203,"[25154, 3852, 148, 525]"
commons-bcel,DT,4,model3,SMOTE,0.865224569560969,0.5671334092236653,0.9100550400587307,[0.92634603 0.20792079],0.865224569560969,0.11994516792323509,0.7800891530460624,0.8671998896779977,0.82364452136203,"[25154, 3852, 148, 525]"
commons-bcel,LogisticRegression,4,model3,SMOTE,0.8633714073924323,0.5663922681623312,0.9089665679671703,[0.92524105 0.20754348],0.8633714073924323,0.11948694869486949,0.7890044576523031,0.8650968765083086,0.8270506670803058,"[25093, 3913, 142, 531]"
commons-bcel,MLP,4,model3,SMOTE,0.8633714073924323,0.5663922681623312,0.9089665679671703,[0.92524105 0.20754348],0.8633714073924323,0.11948694869486949,0.7890044576523031,0.8650968765083086,0.8270506670803058,"[25093, 3913, 142, 531]"
